,PH,PL
2000-09-18,1475.3333333333335,1483.8333333333333
2000-09-19,1482.25,1478.5
2000-09-20,1473.125,1469.0
2000-09-21,1472.9166666666665,1468.1666666666667
2000-09-22,1468.625,1454.0
2000-09-25,1467.875,1473.5
2000-09-26,1451.9166666666665,1463.6666666666667
2000-09-27,1451.875,1452.25
2000-09-28,1476.6666666666665,1463.6666666666667
2000-09-29,1462.2083333333335,1471.8333333333333
2000-10-02,1461.125,1460.75
2000-10-03,1451.4583333333335,1466.3333333333333
2000-10-04,1453.4583333333335,1448.0833333333333
2000-10-05,1460.5416666666665,1459.1666666666667
2000-10-06,1434.5,1444.25
2000-10-09,1421.7916666666665,1422.6666666666667
2000-10-10,1401.4166666666665,1417.6666666666667
2000-10-11,1383.9583333333335,1385.3333333333333
2000-10-12,1355.4583333333335,1374.8333333333333
2000-10-13,1383.7083333333335,1361.0833333333333
2000-10-16,1395.0,1389.0
2000-10-17,1369.9166666666665,1385.4166666666667
2000-10-18,1356.8333333333335,1351.0833333333333
2000-10-19,1399.5,1377.75
2000-10-20,1415.0833333333335,1412.3333333333333
2000-10-23,1419.5833333333335,1412.3333333333333
2000-10-24,1412.4583333333335,1422.0833333333333
2000-10-25,1383.6666666666665,1397.6666666666667
2000-10-26,1374.4583333333335,1369.8333333333333
2000-10-27,1400.6666666666665,1384.6666666666667
2000-10-30,1413.5833333333335,1405.5833333333333
2000-10-31,1441.125,1427.25
2000-11-01,1436.75,1434.5
2000-11-02,1440.75,1443.0
2000-11-03,1442.0,1442.75
2000-11-06,1450.0833333333335,1448.8333333333333
2000-11-07,1447.3333333333335,1442.3333333333333
2000-11-08,1423.9166666666665,1444.6666666666667
2000-11-09,1407.2083333333335,1403.3333333333333
2000-11-10,1382.9166666666665,1399.9166666666667
2000-11-13,1362.1666666666665,1357.4166666666667
2000-11-14,1394.0416666666665,1379.1666666666667
2000-11-15,1401.0,1396.5
2000-11-16,1387.7083333333335,1398.0833333333333
2000-11-17,1377.625,1384.0
2000-11-20,1356.625,1368.25
2000-11-21,1358.875,1352.5
2000-11-22,1334.1666666666665,1352.6666666666667
2000-11-24,1347.625,1336.0
2000-11-27,1363.7083333333335,1362.8333333333333
2000-11-28,1347.6666666666665,1360.1666666666667
2000-11-29,1343.5833333333335,1353.5833333333333
2000-11-30,1324.0833333333335,1318.3333333333333
2000-12-01,1326.875,1330.25
2000-12-04,1333.125,1329.0
2000-12-05,1372.7083333333335,1353.0833333333333
2000-12-06,1361.125,1366.0
2000-12-07,1345.875,1357.5
2000-12-08,1359.875,1364.75
2000-12-11,1386.0833333333335,1380.3333333333333
2000-12-12,1379.875,1369.75
2000-12-13,1367.9583333333335,1382.8333333333333
2000-12-14,1346.0,1358.0
2000-12-15,1336.0833333333335,1333.3333333333333
2000-12-18,1349.375,1344.5
2000-12-19,1330.8333333333335,1355.0833333333333
2000-12-20,1292.1666666666665,1312.9166666666667
2000-12-21,1293.0833333333335,1291.8333333333333
2000-12-22,1326.0416666666665,1307.4166666666667
2000-12-26,1338.75,1330.5
2000-12-27,1351.8333333333335,1340.8333333333333
2000-12-28,1356.2916666666665,1351.1666666666667
2000-12-29,1336.75,1351.0
2001-01-02,1309.3333333333335,1322.3333333333333
2001-01-03,1353.6666666666665,1322.6666666666667
2001-01-04,1355.5,1360.0
2001-01-05,1321.5,1359.0
2001-01-08,1311.3333333333335,1301.8333333333333
2001-01-09,1315.7083333333335,1321.5833333333333
2001-01-10,1327.3333333333335,1313.3333333333333
2001-01-11,1338.8333333333335,1335.3333333333333
2001-01-12,1336.125,1339.5
2001-01-16,1339.0,1335.25
2001-01-17,1348.0416666666665,1352.6666666666667
2001-01-18,1359.1666666666665,1353.6666666666667
2001-01-19,1356.9166666666665,1367.1666666666667
2001-01-22,1361.2083333333335,1355.8333333333333
2001-01-23,1369.2083333333335,1363.8333333333333
2001-01-24,1375.875,1377.75
2001-01-25,1371.9166666666665,1377.6666666666667
2001-01-26,1366.6666666666665,1361.9166666666667
2001-01-29,1373.75,1370.0
2001-01-30,1384.75,1375.75
2001-01-31,1381.5416666666665,1390.6666666666667
2001-02-01,1384.9583333333335,1377.3333333333333
2001-02-02,1363.625,1379.75
2001-02-05,1365.375,1360.5
2001-02-06,1363.5833333333335,1370.5833333333333
2001-02-07,1354.0,1352.5
2001-02-08,1343.5416666666665,1353.4166666666667
2001-02-09,1328.5416666666665,1336.1666666666667
2001-02-12,1337.0416666666665,1331.9166666666667
